Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
181;60;114;113;97.25;11.36;2.00;00000111111111222333333345566777
182;60;114;113;97.58;11.30;2.00;00000111111111222333333345566777
183;61;114;115;95.00;11.24;2.00;00000111111111222333333345566777
184;63;114;116;91.68;11.18;2.00;00000111111111222333333345566777
185;64;114;115;91.16;11.12;2.00;00000111111111222333333345566777
186;64;116;112;93.33;11.22;2.02;00000111111111222333333345566777
187;67;116;111;90.01;11.16;2.01;00000111111111222333333345566777
188;68;116;112;88.29;11.10;2.01;00000111111111222333333345566777
189;68;117;111;89.07;11.10;2.04;00000000000000112334444445566777
190;67;118;112;90.00;11.11;2.06;00000000000000112334444445566777
191;68;119;111;89.49;11.13;2.07;00000000000000112334444445566777
192;68;120;112;89.10;11.15;2.06;00000000000000112334444445566777
193;71;120;111;86.07;11.09;2.06;00000000000000112334444445566777
194;72;122;113;83.93;11.18;2.08;00111123333333333333445677777777
195;73;122;113;82.89;11.12;2.08;00111123333333333333445677777777
196;77;122;108;81.30;11.07;2.08;00111123333333333333445677777777
197;78;124;108;80.33;11.16;2.12;00111123333333333333445677777777
198;79;126;109;78.89;11.21;2.15;00111123333333333333445677777777
199;80;126;108;78.43;11.16;2.15;00111123333333333333445677777777
200;83;126;107;76.07;11.10;2.14;00111123333333333333445677777777
201;83;128;107;76.07;11.95;2.10;00111123333333333333445677777777
202;85;129;106;74.75;11.93;2.11;00111123333333333333445677777777
203;88;130;104;73.11;11.92;2.11;00000000000000112334444445566777
204;89;132;103;72.67;12.05;2.12;00000000000000112334444445566777
205;88;134;103;72.97;12.26;2.15;00000000000000112334444445566777
206;90;135;103;71.27;12.25;2.17;00000000000000112334444445566777
207;92;136;101;70.50;12.41;2.15;00000000000000112334444445566777
208;97;136;101;66.76;12.35;2.14;00000000000000112334444445566777
209;98;137;98;67.14;12.40;2.14;00000000000000112334444445566777
210;103;138;99;63.36;12.42;2.16;00000000000000112334444445566777
211;104;140;95;64.10;12.53;2.17;00000000000000112334444445566777
212;108;141;96;61.17;12.71;2.16;00000000000000112334444445566777
213;109;143;95;60.75;12.89;2.10;00000000000000112334444445566777
214;107;147;95;61.66;14.25;2.05;00000000000000112334444445566777
215;110;148;96;59.39;14.24;2.05;00000000000000112334444445566777
216;113;149;95;57.92;14.36;2.04;00000000000000112334444445566777
217;112;152;93;58.89;14.41;2.08;00000000000000112334444445566777
218;113;153;89;59.53;14.41;2.09;00000000000000112334444445566777
219;115;156;88;58.24;14.48;2.12;00000000000000112334444445566777
220;116;160;87;57.85;14.60;2.14;00000000000000112334444445566777
221;117;164;87;57.11;14.69;2.18;00000000000000112334444445566777
222;118;167;83;57.70;14.99;2.18;00000000000000112334444445566777
223;116;171;83;58.42;15.23;2.19;00000000000000112334444445566777
224;117;175;83;57.65;16.00;2.14;00000000000000112334444445566777
225;120;180;84;55.63;16.38;2.13;00000000000000112334444445566777
226;127;182;82;52.94;16.38;2.13;00000000000000112334444445566777
227;126;186;80;53.67;16.81;2.16;00000000000000112334444445566777
228;126;189;78;53.98;16.96;2.20;00000000000000112334444445566777
229;124;193;77;54.84;17.16;2.20;00000000000000112334444445566777
230;121;197;77;55.88;17.69;2.22;00000000000000112334444445566777
231;122;202;75;55.80;17.91;2.29;00000000000000112334444445566777
232;124;206;75;54.60;18.13;2.26;00000000000000112334444445566777
233;124;209;75;54.29;18.17;2.29;00000000000000112334444445566777
234;119;216;74;56.60;18.50;2.33;00000000000000112334444445566777
235;119;218;72;56.96;18.55;2.34;00000000000000112334444445566777
236;114;225;70;59.88;18.92;2.39;00000000000000112334444445566777
237;113;227;71;59.42;19.70;2.28;00000000000000112334444445566777
238;110;232;70;61.15;20.07;2.27;00000000000000112334444445566777
239;110;233;70;60.89;20.04;2.28;00000000000000112334444445566777
240;108;237;71;61.42;20.60;2.28;00000000000000112334444445566777
241;107;240;69;62.50;20.65;2.33;00000000000000112334444445566777
242;106;242;66;63.99;20.77;2.33;00000000000000112334444445566777
243;108;245;65;62.99;20.97;2.33;00000000000000112334444445566777
244;108;248;65;62.78;21.23;2.34;00000000000000112334444445566777
245;106;251;63;64.48;21.31;2.39;00000000000000112334444445566777
246;106;252;64;63.87;21.25;2.39;00000000000000112334444445566777
247;105;254;65;63.87;21.47;2.37;00000000000000112334444445566777
248;104;256;65;64.26;21.47;2.39;00000000000000112334444445566777
249;104;257;65;64.05;21.45;2.39;00000000000000112334444445566777
250;106;257;64;63.00;21.36;2.39;00000000000000112334444445566777
251;105;260;66;62.62;22.71;2.31;00000000000000112334444445566777
252;106;260;66;61.80;22.62;2.31;00000000000000112334444445566777
253;106;261;66;61.57;22.66;2.29;00000000000000112334444445566777
254;103;267;65;63.58;24.22;2.17;00000000000000112334444445566777
255;103;270;65;63.40;24.61;2.13;00000000000000112334444445566777
256;107;270;65;60.83;24.52;2.12;00000000000000112334444445566777
257;109;270;63;60.21;24.42;2.12;00000000000000112334444445566777
258;106;274;63;61.68;25.56;2.04;00000000000000112334444445566777
259;107;276;63;60.89;25.64;2.07;00000000000000112334444445566777
260;107;278;62;61.03;25.67;2.09;00000000000000112334444445566777
261;108;278;63;59.85;25.57;2.09;00000000000000112334444445566777
262;108;278;62;59.96;25.47;2.09;00000000000000112334444445566777
263;110;279;63;57.93;25.42;2.11;00000000000000112334444445566777
264;112;281;62;57.00;25.53;2.12;00000000000000112334444445566777
265;113;281;63;55.87;25.43;2.12;00000000000000112334444445566777
266;114;281;63;55.09;25.34;2.11;00000000000000112334444445566777
267;114;282;59;56.20;25.40;2.12;00000000000000112334444445566777
268;112;285;59;56.93;25.61;2.14;00000000000000112334444445566777
269;112;286;59;56.66;25.79;2.13;00000000000000112334444445566777
270;112;287;56;57.46;25.81;2.12;00000000000000112334444445566777
271;112;289;57;56.83;25.82;2.13;00000000000000112334444445566777
272;110;292;55;58.33;26.36;2.17;00000000000000112334444445566777
273;110;295;55;58.10;26.55;2.19;00000000000000112334444445566777
274;108;297;54;59.29;26.59;2.23;00000000000000112334444445566777
275;110;298;53;58.33;26.56;2.24;00000000000000112334444445566777
276;110;299;53;58.06;26.80;2.20;00000000000000112334444445566777
277;109;301;51;59.07;27.15;2.17;00000000000000112334444445566777
278;113;301;51;56.75;27.05;2.17;00000000000000112334444445566777
279;112;303;50;57.35;27.07;2.19;00000000000000112334444445566777
280;111;307;51;57.27;27.44;2.21;00000000000000112334444445566777
281;111;309;51;56.67;27.52;2.23;00000000000000112334444445566777
282;113;310;53;54.71;27.49;2.25;00000000000001233333345555666777
283;114;312;50;55.03;28.33;2.20;00000000000001233333345555666777
284;119;312;50;52.45;28.23;2.19;00000000000001233333345555666777
285;119;314;48;52.82;28.38;2.22;00000000000001233333345555666777
286;121;314;47;51.96;28.28;2.21;00000000000001233333345555666777
287;120;316;45;52.41;28.87;2.21;00000000000001233333345555666777
288;120;317;46;51.75;28.89;2.22;00000000000001233333345555666777
289;119;320;44;52.56;28.88;2.27;00000000000001233333345555666777
290;119;324;42;52.94;28.87;2.30;00000000000001233333345555666777
291;116;328;41;54.36;29.01;2.35;00000000000001233333345555666777
292;118;330;40;53.49;29.11;2.38;00000000000001233333345555666777
293;118;333;40;53.19;30.01;2.38;00000000000001233333345555666777
