Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
375;74;502;78;73.72;51.09;2.18;00000011123444444555555556677777
376;75;503;80;71.77;51.57;2.17;00000011123444444555555556677777
377;73;505;81;73.29;51.50;2.22;00000011123444444555555556677777
378;72;507;81;74.44;51.51;2.24;00000011123444444555555556677777
379;74;508;80;73.11;51.42;2.26;00000011123444444555555556677777
380;77;508;80;70.35;51.29;2.25;00000011123444444555555556677777
381;79;508;81;68.10;51.15;2.24;00000011123444444555555556677777
382;78;509;79;70.03;51.24;2.26;00000011123444444555555556677777
383;78;511;79;70.09;51.18;2.27;00000011123444444555555556677777
384;77;512;79;71.04;51.11;2.27;00000011123444444555555556677777
385;77;513;80;70.57;51.08;2.26;00000011123444444555555556677777
386;79;513;77;70.35;50.95;2.25;00000011123444444555555556677777
387;79;514;77;70.39;51.53;2.16;00000011123444444555555556677777
388;79;518;77;70.48;51.83;2.24;00000111112222344455555555555667
389;82;521;77;67.96;51.81;2.26;00000111112222344455555555555667
390;83;522;77;67.13;51.93;2.23;00000111112222344455555555555667
391;85;522;76;65.99;51.80;2.22;00000111112222344455555555555667
392;84;524;75;67.21;52.00;2.19;00000111112222344455555555555667
393;86;525;74;66.09;52.07;2.17;00000111112222344455555555555667
394;86;526;75;65.57;52.00;2.17;00000111112222344455555555555667
395;88;526;75;64.02;51.87;2.17;00000111112222344455555555555667
396;89;526;75;63.22;51.74;2.17;00000111112222344455555555555667
397;90;527;75;62.44;52.61;2.07;00000111112222344455555555555667
398;90;529;74;62.81;53.16;2.06;00000011112233333445555555556667
399;91;529;74;62.01;53.03;2.05;00000011112233333445555555556667
400;91;531;75;61.49;53.03;2.07;00000011112233333445555555556667
401;90;534;75;62.09;52.98;2.11;00000011112233333445555555556667
402;89;538;75;62.72;53.03;2.16;00000011112233333445555555556667
403;90;539;77;61.06;52.93;2.16;00000011112233333445555555556667
404;93;540;76;59.44;53.25;2.12;00000011112233333445555555556667
405;95;541;73;59.34;53.37;2.12;00000011112233333445555555556667
406;95;543;71;60.04;53.78;2.05;00000011112233333445555555556667
407;98;543;73;57.24;53.65;2.05;00000011112233333445555555556667
408;103;543;73;54.31;53.51;2.05;00000011112233333445555555556667
409;102;546;70;55.84;53.53;2.08;00000011112233333445555555556667
410;107;546;70;53.06;53.40;2.07;00000011112233333445555555556667
411;111;548;69;51.29;53.80;2.09;00000011111123334445555555555667
412;111;551;70;50.69;54.61;2.11;00000011111123334445555555555667
413;112;554;69;50.37;54.60;2.15;00000011111123334445555555555667
414;115;555;70;48.44;54.50;2.17;00000011111123334445555555555667
415;116;557;70;47.75;54.49;2.16;00000011111123334445555555555667
416;118;558;70;46.66;54.39;2.17;00000011111123334445555555555667
417;120;561;71;45.28;54.78;2.12;00111111111233333345555555566667
418;120;564;70;45.30;54.69;2.14;00111111111233333345555555566667
419;118;569;69;46.12;54.83;2.17;00111111111233333345555555566667
420;122;570;68;44.66;54.81;2.18;00111111111233333345555555566667
421;123;573;69;43.67;54.81;2.21;00111111111233333345555555566667
422;124;575;69;43.01;54.73;2.22;00111111111233333345555555566667
423;122;578;70;43.05;54.82;2.21;00111111111233333345555555566667
424;113;587;72;45.48;55.31;2.18;00111111111233333345555555566667
425;114;588;73;44.45;55.21;2.18;00111111111233333345555555566667
426;114;591;73;44.18;55.21;2.21;00111111111233333345555555566667
427;111;596;71;45.84;55.52;2.26;00111111111233333345555555566667
428;116;598;70;43.97;55.51;2.25;00111111111233333345555555566667
